model,fold,params,accuracy,precision,sensitivity,specificity,f1,roc_auc,tn,fp,fn,tp,average_precision,balanced_accuracy,brier_score
J48,1,"{""confidence"": 0.1, ""min_leaf"": 10, ""balanced"": false}",0.92,0.9365079365079365,0.9365079365079365,0.8918918918918919,0.9365079365079365,0.9062634062634062,33,4,4,59,0.9158801766320563,0.9141999141999142,0.08558575530342363
Naive Bayes,1,"{""smoothing"": 1e-09, ""balanced"": false}",0.91,0.921875,0.9365079365079365,0.8648648648648649,0.9291338582677166,0.9176319176319175,32,5,4,59,0.9553671782736135,0.9006864006864007,0.08645866643025092
Logistic Regression,1,"{""c"": 0.1, ""balanced"": true}",0.9,0.9344262295081968,0.9047619047619048,0.8918918918918919,0.9193548387096774,0.9141999141999142,33,4,6,57,0.955806353200295,0.8983268983268984,0.10152335888292088
J48,2,"{""confidence"": 0.1, ""min_leaf"": 2, ""balanced"": true}",0.9175257731958762,0.9215686274509803,0.9215686274509803,0.9130434782608695,0.9215686274509803,0.9539641943734015,42,4,4,47,0.9642508097141922,0.9173060528559249,0.07280816511115193
Naive Bayes,2,"{""smoothing"": 1e-09, ""balanced"": false}",0.9278350515463918,0.9782608695652174,0.8823529411764706,0.9782608695652174,0.9278350515463918,0.9744245524296675,45,1,6,45,0.9809644063101618,0.9303069053708439,0.05867233996746235
Logistic Regression,2,"{""c"": 0.1, ""balanced"": true}",0.9175257731958762,0.9777777777777777,0.8627450980392157,0.9782608695652174,0.9166666666666666,0.9688832054560955,45,1,7,44,0.9770306882882632,0.9205029838022165,0.07206789808435374
J48,3,"{""confidence"": 0.25, ""min_leaf"": 2, ""balanced"": true}",0.8095238095238095,0.8641975308641975,0.8860759493670886,0.5769230769230769,0.875,0.6964459591041869,15,11,9,70,0.8416707705116739,0.7314995131450828,0.1843631491057367
Naive Bayes,3,"{""smoothing"": 1e-09, ""balanced"": false}",0.8476190476190476,0.8987341772151899,0.8987341772151899,0.6923076923076923,0.8987341772151899,0.9152872444011684,18,8,8,71,0.9753642534928204,0.7955209347614411,0.1405825742425034
Logistic Regression,3,"{""c"": 0.1, ""balanced"": true}",0.8666666666666667,0.9113924050632911,0.9113924050632911,0.7307692307692307,0.9113924050632911,0.9532619279454723,19,7,7,72,0.9853368779640589,0.821080817916261,0.08364847557568976
J48,4,"{""confidence"": 0.25, ""min_leaf"": 10, ""balanced"": false}",0.8317757009345794,0.8076923076923077,0.9545454545454546,0.6341463414634146,0.875,0.853288987435329,26,15,3,63,0.860527476560121,0.7943458980044347,0.1411890754073986
Naive Bayes,4,"{""smoothing"": 1e-09, ""balanced"": false}",0.8317757009345794,0.7926829268292683,0.9848484848484849,0.5853658536585366,0.8783783783783784,0.926459719142646,24,17,1,65,0.9613248665535212,0.7851071692535108,0.1678578340514208
Logistic Regression,4,"{""c"": 0.1, ""balanced"": false}",0.8411214953271028,0.8450704225352113,0.9090909090909091,0.7317073170731707,0.8759124087591241,0.9541759053954176,30,11,6,60,0.9765378328641557,0.8203991130820398,0.09390050485653902
J48,5,"{""confidence"": 0.1, ""min_leaf"": 20, ""balanced"": false}",0.8918918918918919,0.8769230769230769,0.9344262295081968,0.84,0.9047619047619048,0.8977049180327868,42,8,4,57,0.8761649417387122,0.8872131147540984,0.10292443458245618
Naive Bayes,5,"{""smoothing"": 1e-09, ""balanced"": false}",0.9099099099099099,0.9322033898305084,0.9016393442622951,0.92,0.9166666666666666,0.9619672131147541,46,4,6,55,0.9700370855554482,0.9108196721311476,0.08641841515821629
Logistic Regression,5,"{""c"": 0.1, ""balanced"": true}",0.918918918918919,0.9814814814814815,0.8688524590163934,0.98,0.9217391304347826,0.9740983606557377,49,1,8,53,0.9822422177669006,0.9244262295081966,0.0687210275907846
