model,fold,params,accuracy,precision,sensitivity,specificity,f1,roc_auc,tn,fp,fn,tp
J48,1,"{""smote"": true, ""cap_outliers"": false, ""feature_count"": 8, ""confidence"": 0.25, ""min_leaf"": 20}",0.7532467532467533,0.5952380952380952,0.9259259259259259,0.66,0.7246376811594203,0.8303703703703703,33,17,2,25
Naive Bayes,1,"{""smote"": true, ""cap_outliers"": true, ""feature_count"": 8, ""smoothing"": 1e-09}",0.7922077922077922,0.6410256410256411,0.9259259259259259,0.72,0.7575757575757576,0.8607407407407407,36,14,2,25
Logistic Regression,1,"{""smote"": true, ""cap_outliers"": false, ""feature_count"": 8, ""c"": 0.1}",0.6883116883116883,0.5428571428571428,0.7037037037037037,0.68,0.6129032258064516,0.8288888888888888,34,16,8,19
J48 reference,1,{},0.8441558441558441,0.7419354838709677,0.8518518518518519,0.84,0.7931034482758621,0.8788888888888889,42,8,4,23
J48 zeros untreated,1,"{""zero_missing"": false}",0.7532467532467533,0.6052631578947368,0.8518518518518519,0.7,0.7076923076923077,0.852962962962963,35,15,4,23
J48 unpruned,1,"{""unpruned"": true}",0.8441558441558441,0.7419354838709677,0.8518518518518519,0.84,0.7931034482758621,0.8788888888888889,42,8,4,23
J48 SMOTE,1,"{""smote"": true}",0.7142857142857143,0.5581395348837209,0.8888888888888888,0.62,0.6857142857142857,0.8003703703703704,31,19,3,24
J48 capped,1,"{""cap_outliers"": true}",0.8181818181818182,0.6857142857142857,0.8888888888888888,0.78,0.7741935483870968,0.8485185185185186,39,11,3,24
J48 five features,1,"{""feature_count"": 5}",0.7662337662337663,0.6216216216216216,0.8518518518518519,0.72,0.71875,0.797037037037037,36,14,4,23
J48,2,"{""smote"": true, ""cap_outliers"": true, ""feature_count"": 5, ""confidence"": 0.4, ""min_leaf"": 20}",0.8051948051948052,0.7,0.7777777777777778,0.82,0.7368421052631579,0.8644444444444445,41,9,6,21
